feature,importance
EVI_aug,172.16673637477652
LSWI_jul,169.72073249444173
EVI_jul,169.01470689474073
GCVI_jul,156.69884268446975
NDVI_apr,148.528084572934
shape_mid_dip,144.31673553456469
NDVI_sin2,142.67065860489836
NDVI_may,140.18533089810037
EVI_cos1,131.92602299362417
shape_winter_ratio,131.73715584785404
NDVI_mean,131.22817405115146
EVI_c,128.37789517261865
NDVI_phase1,126.36118327622619
NDVI_jan,125.83295380994454
GCVI_aug,124.4554210098686
NDVI_sin1,121.44794173049587
LSWI_sin1,120.4134328673342
LSWI_aug,119.29511503271866
NDVI_max,118.67659056377465
NDVI_c,118.3419396583103
NDVI_cos2,117.99044778985633
shape_integrated_ndvi,117.80573104574297
shape_peak_skewness,117.52910498549318
LSWI_cos1,115.80447243168341
NDVI_std,115.24629624538686
NDVI_aug,113.97133196362458
NDVI_jun,112.58113524530619
EVI_sin1,111.86315710450295
LSWI_c,110.3364936086599
GCVI_cos1,109.23157038787186
GCVI_jun,109.04117995299612
GCVI_c,107.28682010749256
GCVI_sin1,106.97185887393519
LSWI_sep,106.80896086192442
NDVI_amp2,106.28456921102972
NDVI_amp1,105.02609759937923
NDVI_amp,104.72756235056187
GCVI_sep,103.66256052189166
NDVI_cos1,102.88239558596976
NDVI_nov,98.84529552729303
NDVI_sep,93.52418420942601
shape_season_length,67.31996567293173
