feature,importance
NDVI_amp2,28.694696654011942
EVI_aug,27.723854934209708
NDVI_c,26.91839158538232
EVI_sin1,25.98272408413341
NDVI_sin2,25.6604209321964
NDVI_nov,25.164483663650312
LSWI_jul,24.337873739128813
GCVI_jun,23.803744280734215
NDVI_apr,23.416475562284102
NDVI_cos2,23.365839551916075
NDVI_aug,23.34618492905309
GCVI_jul,23.1116255612367
EVI_jul,23.07218775024703
LSWI_cos1,23.00039342230398
NDVI_jun,22.846638169906587
EVI_c,22.00820776305619
NDVI_may,21.773517014760923
shape_mid_dip,21.367547142886902
EVI_cos1,21.328924736666437
LSWI_sin1,21.298967046041547
GCVI_c,20.787955090233552
GCVI_sin1,20.05999807321754
NDVI_amp1,19.563177778483094
GCVI_aug,19.481768581413814
LSWI_c,19.173851866681574
NDVI_phase1,18.571160717636218
GCVI_cos1,18.196175229009892
shape_peak_skewness,18.157472801515162
NDVI_sin1,18.11789439072628
NDVI_cos1,16.375783524254828
LSWI_aug,13.92048206963166
shape_season_length,11.217733316922097
GCVI_sep,7.23280801107928
LSWI_sep,6.710688628258635
NDVI_sep,6.200035352500906
shape_integrated_ndvi,5.690036289513317
NDVI_jan,3.6577877638826157
shape_winter_ratio,2.6966396366663123
